Template|Cypher
Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[:ns1__Visit]->(end:ns0__Beach) RETURN p
Quiet Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[:ns1__Visit]->(end:ns1__Quiet) RETURN p
Family-Friendly Beaches in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[:ns1__Visit]->(end:ns1__FamilyFriendly_Beach) RETURN p
What water sports are available in <Place/Beach>|MATCH p=(start{ns0__name:"<Place/Beach>"})-[*1..2]->(end:ns1__Water_Activity) RETURN p
Organized beach in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[:ns1__Visit]->(end) WHERE end:ns1__Well_Organized OR end:ns1__Partly_Organized RETURN p
Beach with blue flag in <Place>|MATCH p=(start{ns0__name:"<Place>"})-[*1..2]->(end) WHERE end.ns1__Blue_Flag RETURN p
Where is <Beach>?|MATCH p=(start:ns1__Village)-->(end:ns0__Beach) WHERE end.ns0__name="<Beach>" RETURN p
Sandy beaches in Santorini?|MATCH p=(start:ns1__Village)-[:ns1__Visit]->(m:ns0__Beach)-[:ns1__sandType]->(end) WHERE end.ns0__name="Black Sand" OR end.ns0__name= "Dark Grey Sand" OR end.ns0__name= "Black Sand and Pebbles" RETURN p
What are some nudist beaches?|MATCH p=(start)-[:ns1__Visit]->(end:ns1__Nudism_Friendly) RETURN p
What do you know about <Beach>?|MATCH p=(start{ns0__name:"<Beach>"})-[*1..3]->(end) RETURN p
Are there any well-organized beaches in <Place> and what can I do there?|MATCH p=(start{ns0__name:"<Place>"})-[:ns1__Visit]->(m:ns1__Well_Organized)-[:ns1__Do]->(end) RETURN p
